0 0
1 49
2 21
3 4
4 36
5 3
6 40
7 53
8 29
9 50
10 32
11 46
12 3
13 59
14 11
15 22
16 83
17 34
18 14
19 37
20 33
21 85
22 18
23 37
24 6
25 26
26 76
27 54
28 82
29 80
30 45
31 38
32 28
33 51
34 21
35 39
36 24
37 69
38 62
39 43
40 67
41 40
42 47
43 26
44 80
45 80
46 41
47 51
48 13
49 7
50 53
51 70
52 86
53 55
54 20
55 52
56 17
57 1
58 78
59 70
60 57
61 2
62 63
63 30
64 10
65 66
66 88
67 0
68 23
69 0
70 35
71 36
72 71
73 91
74 13
75 92
76 90
77 16
78 1
79 11
80 79
81 12
82 3
83 42
84 77
85 18
86 68
87 9
88 68
89 92
90 73
91 93
92 73
93 58
